id;city;street_building;level;apartment;latitude;longitude
1;Horaciochester;Interactions Future Quality;76591;Configuration;Home Loan Account;synthesizing
2;Lake Harvey;Sports Handcrafted Concrete Chicken Architect;58629;JSON Michigan Cambridgeshire;end-to-end;Berkshire Health
3;Easterburgh;Chips override;15869;Credit Card Account;Developer;Awesome Wooden Table
4;New Olebury;Berkshire invoice China;52156;North Dakota solution Incredible;Applications circuit hacking;interactive
5;Rutherfordbury;override Personal Loan Account;66999;Toys Home Quality-focused;synthesizing;National National Avon
6;Wilhelmstad;program Shoes optical;88266;Shirt;systemic alarm;Cayman Islands Dollar
7;Camrynfort;morph bus;74980;National;calculating Awesome Fresh Chips invoice;quantify blue motivating
8;Mohrmouth;relationships Borders Awesome;33586;Representative;input payment;calculating Cheese payment
9;New Bennett;Garden Identity evolve;98389;Costa Rican Colon benchmark;Rubber Principal;Personal Loan Account fuchsia
10;Dorthaberg;firewall;15031;Pizza;Grass-roots compelling;generating purple
