id;name;inn;ogrn;address;phone;is_active
1;Handcrafted;Multi-channelled SMTP;monetize Frozen;Parks Fresh Incredible;(375) 666-2871 x2803;false
2;bypass;Research flexibility;calculating;orange Russian Ruble interfaces;793-808-8472;false
3;SDR hierarchy Rapids;deposit navigating;HDD Ergonomic redefine;EXE Florida;074.421.8863 x8157;false
4;Intelligent Soft Car;Ouguiya;Product;compelling wireless Credit Card Account;(263) 375-4366;true
5;Beauty pink Technician;Metal Danish Krone;Zambia;Customer-focused overriding;(039) 607-3645 x145;true
6;Principal;emulation;Monaco PNG JSON;Incredible Computers Directives;903-909-7534 x488;true
7;Outdoors models target;Tasty Concrete Soap;THX;plum parse;(531) 135-3018;false
8;Principal;synergize;Shirt Radial;Fiji Dollar cutting-edge relationships;1-200-648-9727 x88570;false
9;deposit;indigo Idaho;adapter lime deliverables;Product driver;884.665.4454 x8022;false
10;Granite;Chicken Salad Practical;strategic dynamic object-oriented;cutting-edge;(314) 358-5594;false
