id;order_date;price;finish_date;user_photo_url;courier_photo_url;end_order_photo_url;order_start_date;order_finish_date;order_status;courier_ratio;user_ratio
1;2021-02-23T03:51:49;32217;2021-02-22T21:43:21;reboot synthesize holistic;Malaysian Ringgit Convertible Marks;salmon upward-trending connect;2021-02-23T03:26:45;2021-02-23T04:49:03;IN_PROGRESS;80077;29939
2;2021-02-23T11:11:30;87953;2021-02-23T00:46:02;Lek RSS;integrate synergize;Legacy Rial Omani;2021-02-23T04:02:34;2021-02-23T02:12:52;CANCELED;59066;95773
3;2021-02-22T17:20:12;54519;2021-02-23T08:31:12;Small Soft Salad Cotton;olive web-enabled neutral;SDD Minnesota;2021-02-23T08:12:43;2021-02-23T03:38:00;ASSIGNED;45390;9978
4;2021-02-23T08:38:51;90448;2021-02-23T06:38:49;Brand;Indian Rupee Ngultrum solid state;Handcrafted Fresh Salad Health RSS;2021-02-23T11:40:18;2021-02-23T05:08:13;COMPLETED;73833;78745
5;2021-02-22T23:09:30;82880;2021-02-23T02:22:47;Pizza;architectures;Uruguay Auto Loan Account even-keeled;2021-02-23T11:57:23;2021-02-23T04:13:33;CANCELED;91977;82216
6;2021-02-23T00:22:21;78163;2021-02-22T17:27:34;Rustic Table Tasty Plastic Fish;visionary initiatives methodical;Refined Granite GB;2021-02-22T19:59:56;2021-02-23T13:11:54;NEW;11686;18730
7;2021-02-23T07:01:49;98677;2021-02-23T04:01:23;copy;Clothing;mobile tertiary;2021-02-23T11:54:24;2021-02-23T10:45:34;IN_PROGRESS;92559;65401
8;2021-02-23T01:59:29;86733;2021-02-23T10:26:06;Refined Granite Chips quantifying Mexico;Licensed Group;firmware programming;2021-02-23T00:45:46;2021-02-23T09:05:46;CANCELED;5145;9460
9;2021-02-22T16:16:19;96501;2021-02-23T05:25:04;North Carolina virtual;Outdoors Future;schemas deposit Table;2021-02-23T10:23:09;2021-02-23T12:13:35;IN_PROGRESS;24036;91934
10;2021-02-23T08:55:32;7168;2021-02-22T16:19:38;Mountain Awesome Soft Chips;withdrawal;mobile Stand-alone;2021-02-22T21:54:11;2021-02-23T01:08:10;IN_PROGRESS;77437;51073
