id;shift_plan_start_date;shift_fact_start_date;shift_plan_end_date;shift_fact_end_date;prepaid
1;2021-02-23T06:02:19;2021-02-22T22:54:42;2021-02-23T14:39:27;2021-02-22T17:25:20;false
2;2021-02-23T07:38:58;2021-02-23T01:05:15;2021-02-22T17:53:50;2021-02-22T19:14:23;true
3;2021-02-23T01:04:00;2021-02-23T04:51:28;2021-02-22T22:41:18;2021-02-23T01:30:35;true
4;2021-02-23T05:12:41;2021-02-22T17:06:42;2021-02-23T12:21:39;2021-02-22T21:09:34;false
5;2021-02-23T08:42:13;2021-02-23T07:11:11;2021-02-23T00:25:08;2021-02-22T20:23:10;true
6;2021-02-23T10:00:49;2021-02-22T22:45:22;2021-02-23T02:01:26;2021-02-23T07:36:10;false
7;2021-02-23T06:50:04;2021-02-23T00:05:54;2021-02-23T10:38:06;2021-02-22T21:42:08;false
8;2021-02-23T04:43:18;2021-02-23T05:29:47;2021-02-23T14:31:00;2021-02-23T10:43:57;false
9;2021-02-23T02:19:49;2021-02-23T14:12:11;2021-02-23T11:25:33;2021-02-23T15:00:02;true
10;2021-02-23T00:37:08;2021-02-22T19:35:35;2021-02-23T06:28:45;2021-02-23T14:57:05;true
